"date_time","temp","hr","QI","lobster_id","temperature","date2"
"12/8/18 18:39",17,40,0,"IV11","11",2018-12-08 18:39:00
"12/8/18 18:42",17,41,0,"IV11","11",2018-12-08 18:42:00
"12/8/18 18:45",17,41,0,"IV11","11",2018-12-08 18:45:00
"12/8/18 18:48",17,42,0,"IV11","11",2018-12-08 18:48:00
"12/8/18 18:51",17,40,0,"IV11","11",2018-12-08 18:51:00
"12/8/18 18:54",17,40,0,"IV11","11",2018-12-08 18:54:00
"12/8/18 18:57",17,43,0,"IV11","11",2018-12-08 18:57:00
"12/8/18 19:00",17,42,0,"IV11","11",2018-12-08 19:00:00
"12/8/18 19:03",17,42,0,"IV11","11",2018-12-08 19:03:00
"12/8/18 19:06",17,43,0,"IV11","11",2018-12-08 19:06:00
"12/8/18 19:09",17,43,0,"IV11","11",2018-12-08 19:09:00
"12/8/18 19:12",17,41,0,"IV11","11",2018-12-08 19:12:00
"12/8/18 19:15",17,39,0,"IV11","11",2018-12-08 19:15:00
"12/8/18 19:18",17,41,0,"IV11","11",2018-12-08 19:18:00
"12/8/18 19:21",17,41,0,"IV11","11",2018-12-08 19:21:00
"12/8/18 19:24",17,40,0,"IV11","11",2018-12-08 19:24:00
"12/8/18 19:27",17,38,0,"IV11","11",2018-12-08 19:27:00
"12/8/18 19:30",17,38,0,"IV11","11",2018-12-08 19:30:00
"12/8/18 19:33",17,39,0,"IV11","11",2018-12-08 19:33:00
"12/8/18 19:36",17,39,0,"IV11","11",2018-12-08 19:36:00
"12/8/18 19:39",17,41,0,"IV11","11",2018-12-08 19:39:00
"12/8/18 19:42",12,40,0,"IV11","11",2018-12-08 19:42:00
"12/8/18 19:45",14,39,0,"IV11","11",2018-12-08 19:45:00
"12/8/18 19:48",17,39,0,"IV11","11",2018-12-08 19:48:00
"12/8/18 19:51",17,40,0,"IV11","11",2018-12-08 19:51:00
"12/8/18 19:54",17,39,0,"IV11","11",2018-12-08 19:54:00
"12/8/18 19:57",17,39,0,"IV11","11",2018-12-08 19:57:00
"12/8/18 20:00",17,38,0,"IV11","11",2018-12-08 20:00:00
"12/8/18 20:03",17,38,0,"IV11","11",2018-12-08 20:03:00
"12/8/18 20:06",17,39,0,"IV11","11",2018-12-08 20:06:00
"12/8/18 20:09",17,39,0,"IV11","11",2018-12-08 20:09:00
"12/8/18 20:12",14,40,0,"IV11","11",2018-12-08 20:12:00
"12/8/18 20:15",7,39,0,"IV11","11",2018-12-08 20:15:00
"12/8/18 20:18",9,38,0,"IV11","11",2018-12-08 20:18:00
"12/8/18 20:21",14,42,0,"IV11","11",2018-12-08 20:21:00
"12/8/18 20:24",17,39,0,"IV11","11",2018-12-08 20:24:00
"12/8/18 20:27",17,38,0,"IV11","11",2018-12-08 20:27:00
"12/8/18 20:30",17,38,0,"IV11","11",2018-12-08 20:30:00
"12/8/18 20:33",17,38,0,"IV11","11",2018-12-08 20:33:00
"12/8/18 20:36",17,46,0,"IV11","11",2018-12-08 20:36:00
"12/8/18 20:39",17,40,0,"IV11","11",2018-12-08 20:39:00
"12/8/18 20:42",17,40,0,"IV11","11",2018-12-08 20:42:00
"12/8/18 20:45",14,37,0,"IV11","11",2018-12-08 20:45:00
"12/8/18 20:48",7,37,0,"IV11","11",2018-12-08 20:48:00
"12/8/18 20:51",7,39,0,"IV11","11",2018-12-08 20:51:00
"12/8/18 20:54",12,44,0,"IV11","11",2018-12-08 20:54:00
"12/8/18 20:57",17,46,0,"IV11","11",2018-12-08 20:57:00
"12/8/18 21:00",17,44,0,"IV11","11",2018-12-08 21:00:00
"12/8/18 21:03",17,43,0,"IV11","11",2018-12-08 21:03:00
"12/8/18 21:06",17,42,0,"IV11","11",2018-12-08 21:06:00
"12/8/18 21:09",17,45,1,"IV11","11",2018-12-08 21:09:00
"12/8/18 21:12",17,42,0,"IV11","11",2018-12-08 21:12:00
"12/8/18 21:15",17,43,0,"IV11","11",2018-12-08 21:15:00
"12/8/18 21:18",9,40,0,"IV11","11",2018-12-08 21:18:00
"12/8/18 21:21",7,40,0,"IV11","11",2018-12-08 21:21:00
"12/8/18 21:24",7,37,0,"IV11","11",2018-12-08 21:24:00
"12/8/18 21:27",9,38,0,"IV11","11",2018-12-08 21:27:00
"12/8/18 21:30",14,41,0,"IV11","11",2018-12-08 21:30:00
"12/8/18 21:33",17,40,0,"IV11","11",2018-12-08 21:33:00
"12/8/18 21:36",17,39,0,"IV11","11",2018-12-08 21:36:00
