"ID","smr_type","smr","spar","EPOC_full","end_EPOC_min","SMR_intergral_full","SMR_threshold","EPOC_1hr","MO2_1hr","EPOC_2hr","MO2_2hr","EPOC_3hr","MO2_3hr","EPOC_4hr","MO2_4hr","EPOC_5hr","MO2_5hr","end_EPOC.mmr","EPOC_mmr","MO2_mmr","MMR","MMR_percent","scaling_exponent_mmr","scaling_exponent_smr","temp"
"IV17","SMR_low15quant",0.36,0.9,661.077,1002,360.72,0.36,80.665,1.654,155.227,1.557,224.499,1.477,289.413,1.411,350.608,1.351,0,0,0,3.96955783733444,0,1,1,"16"
"IV17","SMR_low15quant",0.36,1,675.192,1065,383.4,0.36,79.93,1.648,154.465,1.56,223.761,1.474,288.002,1.391,347.316,1.309,0,0,0,3.96955783733444,0,1,1,"16"
"GP06","SMR_low15quant",0.468,0.1,502.221,767,358.956,0.468,79.402,1.27,119.285,1.327,173.286,1.477,242.18,1.583,310.749,1.434,22,16.751,1.706,3.50376105994152,48.6905348513827,1,1,"16"
"GP06","SMR_low15quant",0.468,0.2,502.572,767,358.956,0.468,80.343,1.219,120.296,1.294,174.441,1.484,243.215,1.606,311.608,1.457,23,17.578,1.743,3.50376105994152,49.7465429343259,1,1,"16"
"GP06","SMR_low15quant",0.468,0.3,536.733,915,428.22,0.468,83.363,1.151,122.667,1.25,176.989,1.498,245.537,1.637,313.48,1.476,27,19.262,1.747,3.50376105994152,49.8607059703197,1,1,"16"
"GP06","SMR_low15quant",0.468,0.4,540.637,938,438.984,0.468,88.549,1.206,127.094,1.195,180.706,1.508,248.999,1.644,316.24,1.487,33,20.419,1.736,3.50376105994152,49.5467576213366,1,1,"16"
"GP06","SMR_low15quant",0.468,0.5,545.503,950,444.6,0.468,92.123,1.411,136.413,1.177,187.203,1.459,253.016,1.616,319.602,1.508,40,19.061,1.734,3.50376105994152,49.4896761033397,1,1,"16"
"GP06","SMR_low15quant",0.468,0.6,549.345,965,451.62,0.468,90.379,1.621,147.558,1.32,200.101,1.399,260.12,1.517,323.03,1.491,47,14.316,1.747,3.50376105994152,49.8607059703197,1,1,"16"
"GP06","SMR_low15quant",0.468,0.7,551.45,1000,468,0.468,85.173,1.724,153.112,1.513,213.397,1.452,272.178,1.443,329.677,1.401,54,8.249,1.749,3.50376105994152,49.9177874883167,1,1,"16"
"GP06","SMR_low15quant",0.468,0.8,553.611,1055,493.74,0.468,81.935,1.752,154.5,1.614,219.937,1.512,279.868,1.425,334.521,1.333,60,4.902,1.75,3.50376105994152,49.9463282473151,1,1,"16"
"GP06","SMR_low15quant",0.468,0.9,558.788,1059,495.612,0.468,80.362,1.747,153.334,1.627,219.375,1.515,278.85,1.407,331.88,1.3,57,3.342,1.751,3.50376105994152,49.9748690063136,1,1,"16"
"GP06","SMR_low15quant",0.468,1,575.018,1067,499.356,0.468,75.683,1.68,145.262,1.579,208.843,1.48,266.535,1.383,318.431,1.287,18,0.24,1.75,3.50376105994152,49.9463282473151,1,1,"16"
"GP05","SMR_low15quant",0.492,0.1,328.016,655,322.26,0.492,75.548,1.251,114.278,1.085,145.07,0.877,168.847,0.872,198.395,1.009,22,16.651,1.68,3.4150124143572,49.1945503019855,1,1,"16"
"GP05","SMR_low15quant",0.492,0.2,335.688,748,368.016,0.492,76.546,1.219,115.195,1.084,145.915,0.887,169.623,0.882,199.131,1.022,24,17.352,1.662,3.4150124143572,48.6674658344642,1,1,"16"
"GP05","SMR_low15quant",0.492,0.3,343.293,867,426.564,0.492,79.864,1.169,117.247,1.083,147.839,0.904,171.561,0.898,201.044,1.037,27,18.911,1.706,3.4150124143572,49.9558945328495,1,1,"16"
"GP05","SMR_low15quant",0.492,0.4,345.841,869,427.548,0.492,85.597,1.223,121.082,1.042,150.843,0.921,175.245,0.912,204.283,1.022,34,20.356,1.688,3.4150124143572,49.4288100653283,1,1,"16"
"GP05","SMR_low15quant",0.492,0.5,349.304,869,427.548,0.492,89.916,1.407,128.496,0.99,155.261,0.906,180.155,0.925,208.751,1.008,42,20.132,1.69,3.4150124143572,49.487375006164,1,1,"16"
"GP05","SMR_low15quant",0.492,0.6,352.522,873,429.516,0.492,88.618,1.562,135.336,1.065,163.274,0.896,187.337,0.91,214.845,0.989,48,16.699,1.7,3.4150124143572,49.7801997103424,1,1,"16"
"GP05","SMR_low15quant",0.492,0.7,356.401,887,436.404,0.492,81.323,1.604,135.358,1.222,171.728,1.009,199.932,0.937,226.609,0.943,47,9.17,1.7,3.4150124143572,49.7801997103424,1,1,"16"
"GP05","SMR_low15quant",0.492,0.8,360.628,902,443.784,0.492,71.978,1.563,128.761,1.33,173.279,1.154,209.069,1.036,239.254,0.962,27,1.58,1.704,3.4150124143572,49.8973295920138,1,1,"16"
"GP05","SMR_low15quant",0.492,0.9,365.182,911,448.212,0.492,64.222,1.49,119.648,1.348,166.996,1.221,207.246,1.111,241.404,1.017,0,0,0,3.4150124143572,0,1,1,"16"
"GP05","SMR_low15quant",0.492,1,376.43,943,463.956,0.492,57.043,1.397,108.429,1.304,154.325,1.214,194.975,1.129,230.666,1.048,0,0,0,3.4150124143572,0,1,1,"16"
"IV16","SMR_low15quant",0.456,0.1,1165.102,911,415.416,0.456,71.678,1.207,142.655,2.165,243.364,2.049,325.921,1.337,419.262,1.824,10,10.976,2.414,5.19660219118983,46.4534307454326,1,1,"16"
"IV16","SMR_low15quant",0.456,0.2,1168.458,911,415.416,0.456,74.836,1.188,146.301,2.145,247.379,2.065,329.856,1.454,422.509,1.896,11,11.39,2.516,5.19660219118983,48.4162517628453,1,1,"16"
